Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,playerid
Nolan Riggs,Giants,0,0,5.2,0,1,0,1,1,1,0,1,1,1.64,5.97,5.27,5.46,0,0,999,sa840024
Nick Additon,,0,0,5.25,0,0,0,1,1,1,0,1,0,1.45,6.43,3.39,5.46,0,0,999,sa393067
Jhondaniel Medina,,0,0,5.25,0,1,0,1,1,1,0,1,1,1.58,8.04,5.38,5.46,0,0,999,sa550551
Michael Santos,Rays,0,0,5.29,0,1,0,1,1,1,0,1,0,1.56,4.77,3.68,5.46,0,0,999,sa736667
Drew Hasler,White Sox,0,0,5.34,0,1,0,1,1,1,0,1,0,1.55,5.2,3.47,5.46,0,0,999,sa876131
Austin Sexton,Cardinals,0,0,5.42,0,1,0,1,1,1,0,1,1,1.62,6.17,4.65,5.46,0,0,999,sa857572
Jacob Bodner,Royals,0,0,5.32,0,1,0,1,1,1,0,1,1,1.64,6.7,5.36,5.46,0,0,999,sa875866
Jeff Brigham,Marlins,0,0,5.31,0,0,0,1,1,1,0,1,1,1.6,6.09,4.78,5.46,0,0,999,sa828882
Sean McLaughlin,Braves,0,0,5.34,0,1,0,1,1,1,0,1,1,1.64,6.34,5.04,5.46,0,0,999,sa659266
Brad Kuntz,Brewers,0,0,5.3,0,1,0,1,1,1,0,1,1,1.64,6.74,5.05,5.46,0,0,999,sa877529
Chris Sadberry,Marlins,0,0,5.19,0,1,0,1,1,1,0,1,1,1.67,5.42,5.14,5.46,0,0,999,sa828999
Nathan Bates,Angels,0,0,5.12,0,1,0,1,1,1,0,1,1,1.64,6.63,5.43,5.46,0,0,999,sa875717
Ryan Burr,White Sox,0,0,5.21,0,1,0,1,1,1,0,1,1,1.67,7.74,6.03,5.46,0,0,999,sa658938
Kevin Ziomek,Tigers,0,0,5.35,0,0,0,1,1,1,0,1,0,1.55,5.53,3.8,5.46,0,0,999,sa549113
Daisuke Matsuzaka,,0,0,5.43,0,1,0,1,1,1,0,1,1,1.57,7.58,4.9,5.46,0,0,999,7775
Brian Johnson,Red Sox,2,2,5.28,6,6,0,37,39,22,7,26,15,1.48,6.33,3.68,5.47,0,0.2,670.5,14272
Tommy Thorpe,Cubs,0,0,5.12,0,1,0,1,1,1,0,1,1,1.57,7.35,5.15,5.47,0,0,999,sa829121
Aron McRee,White Sox,0,0,5.39,0,0,0,1,1,1,0,1,0,1.61,5.23,4.11,5.47,0,0,999,sa919545
Harley Holt,Cardinals,0,0,5.43,0,1,0,1,1,1,0,1,0,1.61,5.44,4.21,5.47,0,0,999,sa878099
Bruce Chen,Indians,0,0,5.32,0,0,0,1,1,1,0,1,0,1.42,6.08,2.74,5.47,0,0,999,769
Austin Fleet,,0,0,5.35,0,1,0,1,1,1,0,1,0,1.5,6.78,3.92,5.47,0,0,999,sa549259
Lee Stoppelman,,0,0,5.18,0,1,0,1,1,1,0,1,1,1.67,8,6.18,5.47,0,0,999,sa658588
Enderson Franco,Braves,0,0,5.45,0,0,0,1,1,1,0,1,0,1.54,6.02,3.77,5.47,0,0,999,sa547840
Wirkin Estevez,Nationals,0,0,5.43,0,0,0,1,1,1,0,1,0,1.62,5.46,4.36,5.47,0,0,999,sa550539
Touki Toussaint,Braves,0,0,5.39,0,0,0,1,1,1,0,1,1,1.6,7.69,5.29,5.47,0,0,999,sa828666
Randy LeBlanc,Twins,0,0,5.49,0,0,0,1,1,1,0,1,0,1.57,4.85,3.55,5.47,0,0,999,sa549258
Austin Mason,Diamondbacks,0,0,5.36,0,1,0,1,1,1,0,1,1,1.65,6.67,5.33,5.47,0,0,999,sa875720
Greg Harris,Rays,0,0,5.23,0,0,0,1,1,1,0,1,0,1.51,7.14,4.47,5.47,0,0,999,sa738173
Juancito Martinez,,0,0,5.32,0,1,0,1,1,1,0,1,1,1.6,6.72,4.91,5.47,0,0,999,sa506822
Alex Klonowski,Angels,0,0,5.24,0,0,0,1,1,1,0,1,0,1.45,5.57,3.18,5.47,0,0,999,sa829634
Travis Lakins,Red Sox,0,0,5.47,0,0,0,1,1,1,0,1,0,1.56,6.37,4.38,5.47,0,0,999,sa873678
Jorge Reyes,Braves,0,0,5.48,0,0,0,1,1,1,0,1,0,1.53,5.97,3.65,5.47,0,0,999,sa501947
Brett Bochy,,0,0,5.37,0,1,0,1,1,1,0,1,0,1.51,6.8,3.96,5.48,0,0,999,11867
Jeremy Null,,0,0,5.38,0,1,0,1,1,1,0,1,0,1.5,5.76,3.39,5.48,0,0,999,sa602382
Miguel Aguilar,Diamondbacks,0,0,5.22,0,1,0,1,1,1,0,1,1,1.68,7.52,6.15,5.48,0,0,999,sa654743
Omar Bencomo,Twins,0,0,5.46,0,0,0,1,1,1,0,1,0,1.45,6.41,3.06,5.48,0,0,999,sa503950
Blake McKnight,,0,0,5.35,0,1,0,1,1,1,0,1,0,1.62,5.22,4.35,5.48,0,0,999,sa738934
Lorenzo Barcelo,,0,0,5.44,0,0,0,1,1,1,0,1,0,1.48,4.57,2.57,5.48,0,0,999,1435
Michael Wagner,Cubs,0,0,5.29,0,0,0,1,1,1,0,1,1,1.53,7.18,4.6,5.48,0,0,999,sa549834
Chris Dwyer,Orioles,0,0,5.27,0,1,0,1,1,1,0,1,1,1.61,6.55,4.69,5.48,0,0,999,10045
John Richy,,0,0,5.42,0,0,0,1,1,1,0,1,0,1.52,5.67,3.49,5.48,0,0,999,sa828800
Rafael Pineda,Mariners,0,0,5.43,0,0,0,1,1,1,0,1,0,1.52,5.74,3.49,5.48,0,0,999,sa658959
Cody Reed,Diamondbacks,0,0,5.33,0,0,0,1,1,1,0,1,0,1.54,6.72,4.36,5.48,0,0,999,sa828694
Ryan Doran,Diamondbacks,0,0,5.54,0,0,0,1,1,1,0,1,0,1.46,5.81,2.85,5.48,0,0,999,sa739776
Davis Ward,Cardinals,0,0,5.43,0,1,0,1,1,1,0,1,1,1.64,6.22,4.84,5.48,0,0,999,sa829860
Michael Smith,Angels,0,0,5.17,0,1,0,1,1,1,0,1,1,1.56,6.59,4.69,5.48,0,0,999,sa738590
Nathanael Santiago,Giants,0,0,5.2,0,1,0,1,1,1,0,1,1,1.7,7.12,6.28,5.48,0,0,999,sa869604
Billy Strode,Indians,0,0,5.14,0,1,0,1,1,1,0,1,1,1.64,6.01,5.1,5.48,0,0,999,sa857589
Pablo Fernandez,Dodgers,0,0,5.32,0,0,0,1,1,1,0,1,0,1.48,5.82,3.4,5.48,0,0,999,sa867970
Yency Almonte,Rockies,0,1,5.58,2,2,0,9,10,6,2,7,5,1.58,6.95,4.4,5.48,0,0.1,999,sa658334
Carlos Bustamante,Diamondbacks,0,0,5.43,0,1,0,1,1,1,0,1,1,1.65,6.08,5.01,5.49,0,0,999,sa654744
Jean Cosme,Padres,0,0,5.42,0,0,0,1,1,1,0,1,0,1.6,5.71,4.35,5.49,0,0,999,sa829216
Scott Lieser,,0,0,5.4,0,1,0,1,1,1,0,1,0,1.59,6.16,4.43,5.49,0,0,999,sa579250
Drake Britton,,0,0,5.24,0,1,0,1,1,1,0,1,0,1.53,6.38,4.18,5.49,0,0,999,2868
Anderson Polanco,Indians,0,0,5.23,0,0,0,1,1,1,0,1,1,1.6,6.88,5.09,5.49,0,0,999,sa596949
Matt Solter,Giants,0,0,5.31,0,0,0,1,1,1,0,1,1,1.65,5.79,5.18,5.49,0,0,999,sa917121
Gary Cornish,Mets,0,0,5.44,0,0,0,1,1,1,0,1,0,1.61,5.72,4.4,5.49,0,0,999,sa829472
Eduardo Vera,Pirates,0,0,5.66,0,0,0,1,1,1,0,1,0,1.58,5.05,3.41,5.49,0,0,999,sa657658
Dakota Mekkes,Cubs,0,0,5.16,0,1,0,1,1,1,0,1,1,1.65,7.96,6.23,5.49,0,0,999,sa915807
Jonny Drozd,,0,0,5.24,0,1,0,1,1,1,0,1,1,1.66,5.5,4.91,5.49,0,0,999,sa833561
Dace Kime,Indians,0,0,5.28,0,1,0,1,1,1,0,1,1,1.57,6.66,4.69,5.49,0,0,999,sa548429
