Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,playerid
Craig Kimbrel,Red Sox,4,2,2.58,0,65,33,65,42,19,6,100,24,1.02,13.88,3.3,2.46,1.5,1.7,44.8,6655
Kenley Jansen,Dodgers,4,2,2.74,0,65,38,65,46,20,7,91,15,0.94,12.55,2.07,2.58,1.4,1.3,36.5,3096
Andrew Miller,Indians,4,2,2.75,0,65,13,65,47,20,6,91,21,1.05,12.56,2.91,2.72,1.4,1.4,206.4,6785
Clayton Kershaw,Dodgers,15,7,2.74,29,29,0,190,158,58,19,218,35,1.02,10.31,1.67,2.8,5.8,5.7,7.7,2036
Noah Syndergaard,Mets,13,9,3.1,31,31,0,182,152,63,18,220,46,1.09,10.85,2.29,2.85,5.5,4.5,31.4,11762
Dellin Betances,Yankees,3,2,2.96,0,55,2,55,37,18,5,82,26,1.15,13.34,4.29,2.97,1.1,1,278.6,6216
Aroldis Chapman,Yankees,4,2,2.87,0,65,29,65,45,21,7,95,27,1.11,13.18,3.76,2.99,1.3,1.3,63.8,10233
Felipe Rivero,Pirates,4,3,2.99,0,65,31,65,53,22,6,81,24,1.18,11.18,3.28,3.01,1.1,1.1,86.9,12076
Chris Sale,Red Sox,15,7,3.14,29,29,0,192,155,67,23,241,43,1.03,11.29,2,3.03,5.4,5.7,12.3,10603
Ken Giles,Astros,4,3,3.15,0,65,33,65,50,23,7,86,24,1.14,11.9,3.31,3.07,1.1,1,95.1,12910
Corey Knebel,Brewers,4,3,3.14,0,65,30,65,47,23,7,93,29,1.18,12.87,4.04,3.07,1.2,1.1,65.7,15010
Corey Kluber,Indians,16,8,3.29,32,32,0,213,183,78,25,245,49,1.09,10.37,2.08,3.2,5.7,5.7,13.9,2429
Ryan Madson,Nationals,4,3,3.24,0,65,14,65,58,23,6,70,19,1.18,9.73,2.64,3.21,1,0.9,401.1,1852
Edwin Diaz,Mariners,4,3,3.19,0,65,32,65,50,23,7,84,24,1.13,11.64,3.32,3.25,1,1,89.4,14710
Chad Green,Yankees,3,2,3.24,0,45,0,45,36,16,6,57,13,1.1,11.32,2.65,3.26,0.7,0.7,297.3,15552
Zach Britton,Orioles,2,2,3.04,0,40,0,40,37,14,3,40,15,1.3,8.99,3.49,3.27,0.7,0.7,294.7,3240
Trevor Rosenthal,,0,0,3.22,0,1,0,1,1,0,0,1,0,1.23,11.79,4.17,3.3,0,0.1,604.9,10745
Max Scherzer,Nationals,15,9,3.39,32,32,0,207,170,78,27,257,56,1.09,11.13,2.43,3.31,5,5,10.2,3137
Walker Buehler,Dodgers,4,3,3.21,8,23,0,61,49,22,6,74,25,1.21,10.87,3.67,3.32,1.3,1.2,346.2,19374
Stephen Strasburg,Nationals,14,9,3.44,31,31,0,188,165,72,22,215,52,1.15,10.29,2.48,3.34,4.5,4.3,25.8,10131
Justin Wilson,Cubs,2,2,3.2,0,40,0,40,31,14,4,50,18,1.22,11.28,3.99,3.34,0.6,0.6,597.8,4301
A.J. Minter,Braves,3,2,3.29,0,55,0,55,44,20,6,71,23,1.22,11.56,3.79,3.34,0.7,0.7,392.7,18655
Archie Bradley,Diamondbacks,3,3,3.42,0,65,26,65,56,25,6,74,24,1.24,10.2,3.33,3.35,0.9,0.9,182.1,12918
Brad Hand,Padres,3,3,3.32,0,65,29,65,55,24,7,76,23,1.19,10.49,3.12,3.35,0.8,0.8,107.1,9111
Anthony Swarzak,Mets,3,3,3.34,0,65,2,65,57,24,7,72,20,1.18,9.94,2.75,3.36,0.9,0.8,484.2,7466
Jacob deGrom,Mets,13,11,3.44,32,32,0,203,179,78,24,225,57,1.16,9.97,2.52,3.38,4.8,4,35.5,10954
Sean Doolittle,Nationals,4,3,3.33,0,65,22,65,53,24,8,79,19,1.11,10.94,2.66,3.38,0.8,0.9,124.8,1581
Raisel Iglesias,Reds,3,3,3.43,0,65,32,65,54,25,8,78,22,1.18,10.77,3.05,3.42,0.9,0.8,98.7,17130
Scott Alexander,Dodgers,4,3,3.12,0,65,0,65,60,22,4,60,25,1.3,8.32,3.4,3.42,0.8,0.9,650.5,10591
Michael Feliz,Pirates,3,3,3.52,0,55,2,55,47,22,6,66,21,1.24,10.86,3.51,3.43,0.7,0.6,658.5,11903
Mark Melancon,Giants,3,3,3.38,0,65,22,65,62,24,6,57,18,1.24,7.94,2.49,3.44,0.7,0.7,174.8,4264
James Hoyt,Astros,2,1,3.52,0,30,0,30,25,12,3,36,11,1.21,10.75,3.25,3.45,0.4,0.3,721.6,14605
Roberto Osuna,Blue Jays,4,3,3.5,0,65,31,65,55,25,8,75,18,1.12,10.42,2.51,3.46,0.9,0.9,77.4,13764
Carlos Carrasco,Indians,12,8,3.5,28,28,0,169,152,66,20,180,43,1.16,9.6,2.28,3.47,3.9,4,35.9,6632
Pedro Strop,Cubs,3,2,3.33,0,55,2,55,46,20,5,63,23,1.26,10.31,3.78,3.47,0.7,0.8,591,4070
Chris Archer,Rays,12,11,3.48,32,32,0,196,168,76,24,222,61,1.17,10.17,2.81,3.49,4.3,4.3,54,6345
Drew Steckenrider,Marlins,3,3,3.37,0,55,0,55,45,21,5,64,25,1.27,10.48,4.02,3.52,0.6,0.6,360.5,18806
Yu Darvish,Cubs,12,8,3.61,29,29,0,173,148,70,22,201,55,1.17,10.45,2.84,3.53,3.9,3.6,50.1,13074
Luke Gregerson,Cardinals,3,3,3.58,0,65,19,65,60,26,6,64,21,1.25,8.91,2.91,3.53,0.7,0.6,296.8,4090
Andrew Chafin,Diamondbacks,2,2,3.45,0,35,0,35,31,13,3,38,15,1.32,9.71,3.85,3.53,0.4,0.5,999,12988
Robbie Ray,Diamondbacks,11,9,3.56,29,29,0,168,138,66,19,209,70,1.24,11.19,3.73,3.53,3.8,3.9,47.4,11486
Nate Jones,White Sox,3,3,3.48,0,55,0,55,47,21,6,64,20,1.21,10.49,3.22,3.55,0.7,0.7,363.8,4696
Carl Edwards Jr.,Cubs,3,2,3.38,0,55,0,55,41,21,5,73,31,1.31,11.88,5,3.56,0.6,0.7,340.1,13607
James Paxton,Mariners,12,9,3.54,29,29,0,176,161,69,20,178,52,1.21,9.12,2.65,3.57,3.7,3.6,75.8,11828
Brett Cecil,Cardinals,2,2,3.53,0,45,0,45,41,18,5,46,14,1.24,9.15,2.88,3.57,0.5,0.5,628.2,2660
Wilmer Font,Dodgers,5,4,3.53,10,40,0,85,71,33,12,100,25,1.13,10.5,2.61,3.58,1.4,1.3,642.7,5257
Kirby Yates,Padres,3,3,3.56,0,65,4,65,52,26,8,81,25,1.19,11.26,3.52,3.58,0.7,0.6,459.1,9073
Jose Quintana,Cubs,14,9,3.51,32,32,0,196,179,76,23,198,56,1.2,9.11,2.57,3.59,4.2,4.2,70.3,11423
Rubby de la Rosa,Diamondbacks,0,0,3.69,0,1,0,1,1,0,0,1,0,1.23,9.84,2.96,3.6,0,0.1,682.2,3862
Joe Kelly,Red Sox,3,2,3.58,0,55,0,55,49,22,6,58,21,1.27,9.56,3.4,3.6,0.6,0.7,647.8,9761
Keone Kela,Rangers,2,2,3.65,0,40,0,40,33,16,5,50,17,1.25,11.15,3.82,3.61,0.5,0.6,347.9,14696
Lance McCullers,Astros,10,7,3.61,24,24,0,137,123,55,13,145,53,1.29,9.56,3.49,3.61,2.9,2.7,141.4,14120
Blake Parker,Angels,4,3,3.48,0,65,11,65,54,25,8,74,22,1.18,10.2,3.07,3.62,0.7,0.8,227.2,5224
Shohei Ohtani,Angels,10,7,3.56,24,24,0,148,120,59,19,183,59,1.21,11.12,3.59,3.63,3,3,80.1,19755
Luis Severino,Yankees,14,8,3.57,31,31,0,188,164,75,25,213,58,1.18,10.16,2.75,3.63,4.3,4.3,33.3,15890
Hector Rondon,Astros,4,3,3.69,0,65,0,65,58,27,8,71,21,1.21,9.86,2.84,3.63,0.7,0.6,594.1,2391
Will Smith,Giants,1,1,3.48,0,20,0,20,17,8,2,23,9,1.28,10.31,3.96,3.64,0.2,0.2,999,8048
Ross Stripling,Dodgers,3,2,3.57,0,55,0,55,52,22,6,53,16,1.22,8.6,2.55,3.64,0.5,0.4,635.2,13273
Tommy Kahnle,Yankees,3,2,3.54,0,55,2,55,44,22,7,69,24,1.25,11.35,4,3.64,0.7,0.7,452.6,11384
Jeurys Familia,Mets,3,3,3.57,0,65,33,65,59,26,6,65,27,1.34,9.03,3.79,3.64,0.7,0.5,173.8,5114
Brandon Morrow,Cubs,4,3,3.58,0,65,36,65,58,26,8,68,21,1.22,9.39,2.91,3.65,0.7,0.7,171.1,9346
Tommy Hunter,Phillies,3,3,3.63,0,65,12,65,60,26,8,69,19,1.21,9.52,2.67,3.65,0.8,0.6,569.7,1157
Boone Logan,Brewers,2,2,3.61,0,40,0,40,34,16,5,49,17,1.28,11.07,3.88,3.65,0.5,0.5,999,5525
Drew Smyly,Cubs,1,0,3.55,0,10,0,10,9,4,1,11,3,1.13,10.01,2.42,3.66,0.1,0.1,999,11760
Aaron Nola,Phillies,11,10,3.77,29,29,0,180,167,75,23,187,51,1.21,9.38,2.56,3.68,3.9,3.3,63.3,16149
Zack Greinke,Diamondbacks,13,10,3.73,32,32,0,203,194,84,25,195,52,1.21,8.67,2.31,3.68,4.2,4.4,48.1,1943
Alex Wood,Dodgers,9,7,3.51,23,23,0,131,123,51,15,125,38,1.23,8.61,2.63,3.68,2.5,2.5,114.7,13781
Carlos Martinez,Cardinals,13,10,3.74,32,32,0,202,190,84,21,203,72,1.3,9.04,3.22,3.68,4,3.4,53.5,11682
Enny Romero,Nationals,2,2,3.58,0,40,0,40,34,16,5,47,17,1.28,10.55,3.89,3.69,0.4,0.5,686,4001
David Robertson,Yankees,4,3,3.67,0,65,4,65,55,27,8,79,25,1.23,10.89,3.48,3.7,0.8,0.7,302.2,8241
Blake Treinen,Athletics,3,3,3.67,0,65,22,65,62,27,6,63,26,1.34,8.65,3.54,3.7,0.6,0.6,179.5,12572
Nik Turley,Pirates,1,0,3.62,0,10,0,10,9,4,1,12,4,1.27,10.57,3.76,3.7,0.1,0.1,999,5530
Liam Hendriks,Athletics,3,3,3.81,0,55,0,55,50,23,7,58,18,1.23,9.42,2.87,3.71,0.5,0.5,670.3,3548
Jameson Taillon,Pirates,11,11,3.96,32,32,0,189,190,83,21,176,53,1.29,8.38,2.52,3.71,3.6,2.8,187.3,11674
Joe Smith,Astros,2,2,3.63,0,45,0,45,42,18,5,45,14,1.25,9.01,2.84,3.71,0.4,0.4,647.7,3281
Jacob Barnes,Brewers,2,2,3.72,0,45,0,45,40,19,5,50,18,1.31,9.9,3.7,3.72,0.5,0.5,615.1,12323
Josh Ravin,Braves,0,0,3.7,0,1,0,1,1,0,0,1,0,1.3,11.09,4.25,3.72,0,0.1,999,2951
Austin Pruitt,Rays,1,1,3.68,0,20,0,20,19,8,2,18,4,1.19,8.13,1.99,3.72,0.2,0.2,686.3,15290
Will Harris,Astros,3,2,3.78,0,55,0,55,51,23,7,56,17,1.24,9.14,2.8,3.72,0.5,0.4,546,3192
Cody Allen,Indians,4,3,3.7,0,65,22,65,54,27,9,77,25,1.21,10.73,3.42,3.72,0.7,0.7,92.6,12183
Bryan Shaw,Rockies,3,2,3.84,0,55,0,55,53,23,6,56,20,1.32,9.12,3.29,3.73,0.7,0.7,592.8,8110
Jose De Leon,Rays,0,0,3.61,0,1,0,1,1,0,0,1,0,1.19,10.68,3.33,3.73,0,0.1,524.9,15463
Angel Sanchez,Pirates,0,0,3.84,0,1,0,1,1,0,0,1,0,1.28,8.76,2.81,3.73,0,0.1,999,11776
Kelvin Herrera,Royals,3,3,3.78,0,65,31,65,60,27,7,65,22,1.26,9.05,3.08,3.74,0.6,0.6,198.4,6033
Dominic Leone,Cardinals,3,3,3.71,0,65,15,65,58,27,7,70,26,1.28,9.68,3.54,3.74,0.6,0.5,418.8,13763
Danny Salazar,Indians,9,6,3.69,21,31,0,127,107,52,17,152,49,1.23,10.72,3.48,3.74,2.4,2.7,194.9,5867
Bud Norris,Cardinals,3,2,3.76,0,55,0,55,51,23,6,57,19,1.28,9.25,3.16,3.75,0.5,0.4,518.6,9492
Jared Miller,Diamondbacks,1,1,3.59,0,15,0,15,13,6,1,17,7,1.35,9.99,4.31,3.75,0.1,0.1,999,sa827467
Jimmie Sherfy,Diamondbacks,1,1,3.73,0,25,0,25,21,10,3,28,10,1.28,10.23,3.77,3.76,0.2,0.3,559.9,15118
Wade Davis,Rockies,3,3,3.8,0,65,29,65,57,27,8,74,27,1.3,10.27,3.73,3.76,0.8,0.9,109.5,7441
Tyler Lyons,Cardinals,3,2,3.74,0,55,4,55,51,23,7,57,16,1.21,9.35,2.66,3.76,0.5,0.4,420.1,11334
Jeff Samardzija,Giants,13,11,3.81,32,32,0,202,196,86,26,184,45,1.19,8.17,2.01,3.76,3.4,3.2,133.6,3254
Arodys Vizcaino,Braves,3,3,3.79,0,65,23,65,57,27,8,75,27,1.29,10.36,3.79,3.76,0.6,0.5,151.1,5498
Tyler Jones,Pirates,0,0,3.85,0,1,0,1,1,0,0,1,0,1.34,9.14,3.51,3.77,0,0.1,999,sa549495
David Price,Red Sox,13,8,3.75,29,29,0,180,168,75,24,179,46,1.19,8.96,2.32,3.77,3.4,3.9,108.1,3184
Chris Devenski,Astros,3,2,3.75,0,55,0,55,48,23,8,61,17,1.18,10.02,2.78,3.77,0.5,0.4,294.8,12763
Corey Oswalt,Mets,0,0,3.69,0,10,0,10,9,4,1,10,3,1.25,8.67,2.86,3.78,0.1,0.1,999,sa658034
Rich Hill,Dodgers,10,7,3.61,24,24,0,141,120,57,18,158,50,1.21,10.06,3.21,3.78,2.6,2.5,125.6,4806
Josh Hader,Brewers,3,3,3.63,0,65,3,65,52,26,8,83,30,1.26,11.5,4.15,3.78,0.7,0.8,304.6,14212
Radhames Liz,Brewers,0,0,3.78,0,1,0,1,1,0,0,1,0,1.27,10.61,3.68,3.78,0,0.1,999,5843
Dallas Keuchel,Astros,14,9,3.69,32,32,0,202,203,83,20,169,62,1.31,7.51,2.74,3.78,3.9,3.6,77.3,9434
Chaz Roe,Rays,2,2,3.61,0,40,0,40,35,16,4,42,17,1.29,9.48,3.74,3.79,0.3,0.4,699.2,9866
Josh Fields,Dodgers,2,2,3.64,0,40,0,40,34,16,5,44,13,1.18,9.99,2.92,3.79,0.3,0.4,664,5070
D.J. Snelten,Giants,1,0,3.48,0,10,0,10,9,4,1,9,4,1.35,7.81,3.64,3.79,0.1,0.1,999,sa549813
Aaron Barrett,Nationals,0,0,3.75,0,1,0,1,1,0,0,1,0,1.3,9.7,3.64,3.79,0,0.1,999,11243
Charlie Morton,Astros,9,6,3.83,23,23,0,130,121,55,14,131,46,1.29,9.12,3.17,3.8,2.5,2.3,169.6,4676
Josh Smoker,Pirates,2,2,3.78,0,40,0,40,37,17,4,43,17,1.33,9.7,3.72,3.81,0.3,0.3,999,10285
Carson Smith,Red Sox,4,3,3.78,0,65,4,65,61,27,6,63,27,1.35,8.67,3.68,3.81,0.5,0.7,584.2,13172
Eric Yardley,Padres,0,0,3.71,0,1,0,1,1,0,0,1,0,1.34,7.25,2.97,3.82,0,0.1,999,sa744476
Koda Glover,Nationals,2,2,3.79,0,45,0,45,41,19,5,46,16,1.28,9.24,3.19,3.82,0.4,0.3,643.8,17695
Trevor Hildenberger,Twins,3,2,3.84,0,55,2,55,54,23,6,50,16,1.27,8.17,2.65,3.83,0.5,0.5,449,17002
J.T. Chargois,Dodgers,1,0,3.65,0,10,0,10,9,4,1,10,4,1.31,9.3,3.74,3.83,0.1,0.1,999,13767
C.C. Lee,Dodgers,0,0,3.71,0,1,0,1,1,0,0,1,0,1.25,9.66,3.38,3.83,0,0.1,999,5177
Madison Bumgarner,Giants,13,11,3.73,32,32,0,207,195,86,28,198,50,1.18,8.59,2.18,3.83,3.3,3.5,26.5,5524
Justin Verlander,Astros,14,9,3.86,32,32,0,204,180,88,29,227,64,1.2,10.03,2.85,3.83,3.8,3.6,41,8700
James Pazos,Mariners,2,2,3.62,0,45,0,45,38,18,5,51,21,1.32,10.2,4.25,3.83,0.4,0.4,664.2,13323
Zack Weiss,Reds,0,0,3.73,0,10,0,10,9,4,1,11,4,1.26,10.16,3.61,3.84,0.1,0.1,999,sa548466
Marcus Stroman,Blue Jays,12,10,3.89,31,31,0,192,196,83,19,157,58,1.32,7.35,2.71,3.84,3.7,3.5,140.9,13431
Jon Edwards,Padres,0,0,3.72,0,1,0,1,1,0,0,1,0,1.3,10.55,4.21,3.84,0,0.1,999,1483
Kyle Barraclough,Marlins,3,3,3.67,0,65,11,65,54,27,6,75,36,1.38,10.36,4.95,3.84,0.5,0.5,327.2,13713
Chris Rusin,Rockies,2,2,3.89,0,40,0,40,41,17,5,35,12,1.32,7.93,2.6,3.85,0.4,0.5,644.4,9895
Sam Dyson,Giants,3,3,3.71,0,65,16,65,65,27,5,52,26,1.4,7.2,3.62,3.85,0.4,0.4,485.2,11710
Luke Weaver,Cardinals,10,8,3.82,26,26,0,145,135,61,19,144,42,1.23,8.98,2.64,3.85,2.6,2.4,111.8,16918
Alex Reyes,Cardinals,7,5,3.76,16,26,0,102,85,43,12,121,49,1.31,10.66,4.35,3.85,1.7,1.7,264.1,15015
David Phelps,Mariners,3,3,3.76,0,55,0,55,49,23,7,59,21,1.27,9.64,3.39,3.87,0.4,0.4,671.4,6316
Kevin Shackelford,Reds,2,2,3.71,0,40,0,40,35,16,4,43,18,1.32,9.67,3.96,3.87,0.4,0.4,692.4,11012
Greg Holland,,3,3,3.78,0,65,0,65,56,27,8,73,28,1.31,10.07,3.94,3.87,0.5,0.5,174.6,7196
Phil Maton,Padres,3,3,3.78,0,55,2,55,49,23,7,59,21,1.26,9.65,3.36,3.87,0.4,0.3,645.3,18064
Juan Nicasio,Mariners,3,3,3.78,0,65,4,65,59,27,8,69,23,1.26,9.55,3.19,3.87,0.5,0.5,435.2,7731
Michael Tonkin,,0,0,3.84,0,1,0,1,1,0,0,1,0,1.26,9.99,3.44,3.88,0,0.1,999,10315
Trey Wingenter,Padres,0,0,3.72,0,1,0,1,1,0,0,1,0,1.35,9.54,4.16,3.88,0,0.1,999,sa659030
Jenrry Mejia,Mets,0,0,3.85,0,1,0,1,1,0,0,1,0,1.33,9.1,3.62,3.88,0,0.1,999,8476
Roberto Gomez,Giants,1,1,3.73,0,15,0,15,14,6,2,15,6,1.3,8.71,3.52,3.88,0.1,0.1,999,12963
Garrett Richards,Angels,11,8,3.74,26,26,0,159,150,66,17,146,56,1.29,8.26,3.15,3.88,2.8,2.9,169,9784
Rex Brothers,Braves,1,1,3.73,0,30,0,30,25,12,3,37,17,1.38,11.03,5,3.88,0.2,0.2,725.5,9794
Alex Colome,Rays,3,3,3.73,0,65,33,65,60,27,8,63,22,1.26,8.75,3.02,3.88,0.5,0.6,127.6,6661
Madison Younginer,Giants,0,0,3.69,0,1,0,1,1,0,0,1,0,1.34,8.9,4.04,3.89,0,0.1,999,10636
Grant Dayton,Braves,0,0,3.82,0,1,0,1,1,0,0,1,0,1.24,10.31,3.33,3.89,0,0.1,749,11203
Tyler Webb,Brewers,1,1,3.78,0,20,0,20,18,8,2,21,8,1.29,9.52,3.4,3.9,0.2,0.2,999,14974
Alec Mills,Cubs,1,1,3.8,0,25,0,25,24,11,3,23,7,1.24,8.37,2.59,3.9,0.2,0.2,999,13834
Jon Gray,Rockies,12,10,4.13,32,32,0,190,183,87,25,199,64,1.3,9.41,3.05,3.9,3.9,4,164.6,14916
Aaron Poreda,,0,0,3.79,0,1,0,1,1,0,0,1,0,1.31,9.51,3.58,3.91,0,0.1,999,4313
Dillon Maples,Cubs,2,1,3.62,0,30,0,30,25,12,3,34,18,1.42,10.33,5.36,3.91,0.2,0.3,999,14672
Matt Albers,Brewers,3,3,3.98,0,55,1,55,54,24,6,52,19,1.33,8.56,3.13,3.91,0.5,0.4,611,4300
Jon Lester,Cubs,13,10,3.91,32,32,0,195,185,85,25,187,60,1.26,8.61,2.78,3.91,3.5,3.3,117.2,4930
Adrian Houser,Brewers,1,0,3.91,0,10,0,10,10,4,1,10,4,1.33,8.56,3.28,3.91,0.1,0,999,12718
Michael Pineda,Twins,0,0,4.02,0,0,0,1,1,0,0,1,0,1.24,8.38,2.19,3.91,0,0,638.6,5372
Cam Bedrosian,Angels,3,3,3.72,0,65,25,65,57,27,8,69,27,1.29,9.57,3.73,3.92,0.5,0.6,308.5,13360
Jerry Blevins,Mets,3,3,3.76,0,55,1,55,48,23,7,61,23,1.3,10.01,3.84,3.92,0.4,0.3,680.1,7841
Joe Musgrove,Pirates,9,10,4.05,28,28,0,157,161,71,20,138,42,1.29,7.91,2.39,3.92,2.6,2.2,339.9,12970
Tony Watson,Giants,3,3,3.76,0,55,2,55,52,23,6,50,19,1.28,8.13,3.06,3.92,0.3,0.3,581.8,3132
Oliver Drake,Brewers,1,1,3.89,0,25,0,25,22,11,3,27,11,1.34,9.82,3.95,3.92,0.2,0.2,999,8823
Zack Godley,Diamondbacks,9,8,3.99,24,24,0,141,136,63,15,136,55,1.35,8.66,3.51,3.92,2.5,2.5,122.7,14862
Dan Otero,Indians,2,2,3.85,0,35,0,35,38,15,4,25,9,1.32,6.31,2.22,3.93,0.3,0.3,999,7385
Tyler Glasnow,Pirates,4,4,4.02,13,13,0,69,59,31,8,81,36,1.38,10.58,4.68,3.93,1.1,1,374.2,14374
Michael Wacha,Cardinals,11,9,3.99,29,29,0,167,163,74,20,156,55,1.31,8.38,2.98,3.94,2.8,2.3,225.7,14078
Matt Strahm,Padres,3,3,3.74,5,35,0,57,49,24,7,63,23,1.27,9.88,3.7,3.94,0.6,0.6,542.3,13799
Luiz Gohara,Braves,8,8,3.83,23,23,0,130,116,55,15,137,55,1.32,9.51,3.83,3.94,2.2,2.3,285.5,15166
Mychal Givens,Orioles,3,2,3.86,0,55,0,55,48,24,7,63,21,1.25,10.24,3.49,3.94,0.5,0.6,387.1,10430
Tyler Duffey,Twins,2,1,3.98,0,30,0,30,30,13,4,27,8,1.26,8.19,2.32,3.95,0.2,0.3,689.9,13758
Joakim Soria,White Sox,3,3,3.83,0,65,5,65,59,28,8,67,25,1.3,9.31,3.48,3.95,0.5,0.5,327.3,6941
Clay Holmes,Pirates,0,0,3.92,0,10,0,10,10,4,1,9,5,1.46,8.48,4.38,3.95,0.1,0,999,sa598167
Taylor Williams,Brewers,1,1,3.99,0,15,0,15,14,7,2,17,6,1.34,9.95,3.89,3.95,0.1,0.1,999,14899
Josh Lucas,Cardinals,1,1,3.91,0,15,0,15,14,7,2,14,5,1.32,8.33,3.16,3.95,0.1,0.1,999,11686
Ryne Stanek,Rays,2,2,3.76,0,35,0,35,30,15,4,39,16,1.32,10.13,4.23,3.96,0.2,0.3,685.8,15947
Jose Alvarado,Rays,1,1,3.55,0,30,0,30,24,12,3,35,18,1.41,10.49,5.39,3.96,0.2,0.3,624.5,17780
Matt Carasiti,Cubs,0,0,3.83,0,1,0,1,1,0,0,1,0,1.34,9.7,4.14,3.96,0,0.1,999,13276
Matt Barnes,Red Sox,3,2,3.97,0,55,0,55,50,24,6,58,23,1.33,9.48,3.82,3.97,0.4,0.5,621.8,12863
John Gant,Cardinals,2,2,3.94,2,32,0,39,37,17,5,38,13,1.29,8.7,3.06,3.97,0.3,0.3,999,13684
Luis Castillo,Reds,9,8,3.91,24,24,0,144,134,62,19,143,47,1.26,8.97,2.94,3.97,2.6,2.4,94.9,15689
Reyes Moronta,Giants,1,0,3.78,0,10,0,10,8,4,1,11,5,1.35,9.97,4.56,3.98,0,0,999,14966
Craig Stammen,Padres,3,3,3.94,0,55,2,55,54,24,6,49,19,1.33,8.04,3.18,3.98,0.3,0.2,687.2,7274
Mike Zagurski,Brewers,0,0,3.95,0,1,0,1,1,0,0,1,0,1.3,10.09,3.55,3.98,0,0.1,999,9683
Tom Koehler,Dodgers,1,0,3.89,0,10,0,10,9,4,1,10,3,1.26,9.13,2.98,3.99,0.1,0,720.5,6570
Pierce Johnson,Giants,1,0,3.78,0,10,0,10,9,4,1,11,5,1.36,9.65,4.49,3.99,0,0,999,13435
Hunter Strickland,Giants,3,3,3.85,0,55,0,55,51,24,6,52,21,1.31,8.5,3.45,3.99,0.2,0.2,633.5,7836
David Paulino,Astros,1,0,3.96,0,10,0,10,9,4,1,11,3,1.22,9.88,2.98,3.99,0.1,0,607.5,17418
Zach Putnam,,0,0,3.94,0,1,0,1,1,0,0,1,0,1.33,9.21,3.71,3.99,0,0.1,999,9080
Mike Kickham,Marlins,0,0,3.84,0,1,0,1,1,0,0,1,0,1.31,7.41,2.75,4,0,0.1,999,11618
Andrew Kittredge,Rays,3,3,3.83,0,55,0,55,50,23,7,54,19,1.26,8.9,3.19,4,0.3,0.5,647,12828
Daniel Winkler,Braves,2,2,4.03,0,40,0,40,37,18,5,42,16,1.33,9.5,3.64,4,0.2,0.2,638.6,12237
Esmil Rogers,,0,0,3.96,0,1,0,1,1,0,0,1,0,1.28,8.81,2.95,4,0,0.1,999,6317
Dario Alvarez,Cubs,1,0,3.77,0,10,0,10,8,4,1,12,5,1.31,10.56,4.29,4.01,0.1,0,999,14239
Ryan Sherriff,Cardinals,1,1,3.85,0,20,0,20,20,9,2,17,8,1.37,7.79,3.48,4.01,0.1,0.2,999,12249
Shae Simmons,Cubs,1,0,3.85,0,10,0,10,9,4,1,10,5,1.38,9.42,4.38,4.01,0.1,0,710.3,14200
Walker Lockett,Padres,0,1,3.91,0,10,0,10,10,4,1,8,3,1.27,7.13,2.29,4.01,0.1,0,999,sa657984
Cory Gearrin,Giants,2,2,3.87,0,45,0,45,42,19,5,42,19,1.35,8.4,3.8,4.01,0.2,0.2,661.2,7947
Edward Paredes,Dodgers,1,1,3.73,0,25,0,25,22,10,3,27,10,1.28,9.83,3.78,4.01,0.1,0.2,999,4168
Zach McAllister,Indians,2,2,3.99,0,40,0,40,36,18,5,42,15,1.27,9.42,3.29,4.01,0.3,0.3,674.7,2895
Pat Neshek,Phillies,3,3,3.99,0,55,2,55,51,24,9,58,14,1.18,9.49,2.33,4.01,0.4,0.3,494.3,4682
Anthony Bass,,0,0,3.98,0,1,0,1,1,0,0,1,0,1.3,8.79,3.18,4.02,0,0.1,999,7982
Cory Mazzoni,Cubs,1,0,3.93,0,10,0,10,9,4,1,10,4,1.3,9.07,3.45,4.02,0.1,0,999,12537
Steve Cishek,Cubs,3,3,3.93,0,65,2,65,61,28,8,63,26,1.33,8.76,3.55,4.02,0.4,0.4,513.2,6483
Alex Claudio,Rangers,3,3,3.94,0,65,20,65,69,28,6,48,20,1.38,6.6,2.81,4.02,0.5,0.6,304.6,12890
Jimmy Nelson,Brewers,6,6,4.21,16,16,0,94,92,44,12,93,33,1.32,8.88,3.13,4.02,1.7,1.3,321.8,10547
Steven Matz,Mets,7,7,4.01,21,21,0,119,118,53,15,105,36,1.3,7.96,2.74,4.02,1.9,1.5,331.4,13361
Seth Lugo,Mets,2,3,4.03,2,42,0,49,49,22,7,44,12,1.25,8,2.26,4.02,0.4,0.2,556.2,12447
Austin Adams,Nationals,1,0,3.77,0,10,0,10,8,4,1,12,6,1.44,11.21,5.79,4.02,0.1,0,999,13801
Brandon Kintzler,Nationals,3,3,3.97,0,55,2,55,59,24,6,40,16,1.37,6.54,2.67,4.03,0.3,0.3,485.4,9939
Adam Liberatore,Dodgers,1,1,3.79,0,20,0,20,18,8,3,21,8,1.28,9.33,3.5,4.03,0.1,0.1,999,10637
Derek Law,Giants,2,2,3.92,0,35,0,35,33,15,4,31,13,1.32,8.06,3.29,4.03,0.1,0.1,706.4,13133
Peter Moylan,Braves,3,3,3.97,0,55,0,55,55,24,5,47,21,1.39,7.66,3.46,4.03,0.3,0.2,999,4891
